name,lon_deg,lat_deg,mag
Edasich,184.949729,71.093551,3.29
Aspidiske,185.326328,-67.116328,2.21
Xuange,186.963473,54.648242,4.18
Diadem,188.950013,22.978283,4.32
Vindemiatrix,189.940262,16.204973,2.85
Porrima,190.141456,2.790291,2.74
Gienah,190.725641,-14.500898,2.58
Minelauva,191.460891,8.613439,3.39
Alchiba,192.244466,-21.749228,4.02
Algorab,193.451753,-12.196287,2.94
Athebyne,194.487063,78.441030,2.73
Kraz,197.367931,-18.044618,2.65
Seginus,197.663497,49.551597,3.04
Muphrid,199.336599,28.077117,2.68
Heze,202.134199,8.636576,3.38
Spica,203.841357,-2.054492,0.98
Arcturus,204.233767,30.736288,-0.05
Nekkar,204.250636,54.151009,3.49
Izar,208.106338,40.624888,2.35
Miaplacidus,211.969050,-72.235764,1.67
Alkalurops,213.177906,53.421807,4.31
Syrma,213.797174,7.199492,4.07
Kang,214.493717,2.912988,4.18
Imai,215.664856,-50.419470,2.79
Gacrux,216.739601,-47.831217,1.59
Ginan,218.275762,-51.211955,3.59
Nusakan,219.116823,46.054084,3.66
Mimosa,221.646097,-48.638741,1.25
Acrux,221.869975,-52.878832,0.77
Alphecca,222.295750,44.323527,2.22
Menkent,222.308775,-22.079809,2.06
Zubenelgenubi,225.082680,0.333077,2.75
Zubeneschamali,229.371696,8.495940,2.61
Gudja,229.775921,37.110629,4.09
Brachium,230.687262,-7.644459,3.25
Unukalhai,232.075143,25.508008,2.63
Hadar,233.792299,-44.137643,0.61
Zubenelhakrabi,235.138029,4.385928,3.91
Toliman,239.483636,-42.597626,1.35
Rigil Kentaurus,239.484988,-42.592421,-0.01
Kornephoros,241.091304,42.702409,2.78
Yed Prior,242.302125,17.241201,2.73
Dschubba,242.571231,-1.986054,2.29
Fang,242.939880,-5.475368,2.89
Iklil,243.146352,-8.599064,3.87
Acrab,243.190023,1.007768,2.56
Yed Posterior,243.510054,16.439685,3.23
Jabbah,244.643805,1.633268,4.00
Marfik,245.593882,23.555918,3.82
Alniyat,247.799595,-4.037368,2.90
Antares,249.762297,-4.569943,1.06
Paikauhale,251.456915,-6.120403,2.82
Rastaban,251.966454,75.277807,2.79
Sarin,254.763523,47.685617,3.12
Larawag,255.335391,-11.738486,2.29
Rasalgethi,256.151952,37.286152,2.78
Xamidimura,256.155620,-15.423130,3.00
Pipirima,256.246225,-15.382468,3.56
Sabik,257.969574,7.197798,2.43
Maasym,259.903071,49.293851,4.41
Guniibuu,260.012740,-3.549710,4.33
Atria,260.895834,-46.151363,1.91
Rasalhague,262.448610,35.835208,2.08
Lesath,264.012676,-14.008307,2.70
Shaula,264.585719,-13.788452,1.62
Grumium,264.754736,80.282469,3.73
Cebalrai,265.336743,27.939734,2.76
Sargas,265.599406,-19.645112,1.86
Fuyue,267.917836,-13.622337,3.19
Eltanin,267.968751,74.922204,2.24
